name,sub_type_label,sub_type_extra,sub_type,category,line_name,place_id,completion_year,type,city,district,public_type,curriculum_offered,latitude,longitude
MAZ International School - PJ Campus,Primary Secondary Preschool Pre-university,None,primary,education,None,,None,International School,None,None,None,British,3.1041090000000002,101.62576
Sekolah Kebangsaan Sungei Way,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.085003,101.616104
Sekolah Jenis Kebangsaan (Cina) Sungai Way,Primary,['Jenis Kebangsaan (C)'],primary,education,None,,None,Public School,None,None,['Jenis Kebangsaan (C)'],None,3.087843,101.620993
Beaconhouse International School - Sri Inai Campus,Primary Secondary Preschool,None,primary,education,None,,None,International School,None,None,None,British Singaporean,3.1217169,101.61503909999999
Sekolah Kebangsaan Kampung Lindungan,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.080854,101.607168
Sekolah Menengah Kebangsaan (P) Sri Aman,Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.102159,101.62830500000001
Sekolah Kebangsaan Damansara Jaya (1),Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.123255,101.616577
Sekolah Kebangsaan Damansara Jaya (2),Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.123527,101.616475
Sekolah Jenis Kebangsaan (Cina) Puay Chai,Primary,['Jenis Kebangsaan (C)'],primary,education,None,,None,Public School,None,None,['Jenis Kebangsaan (C)'],None,3.116747,101.625574
TOC - The Otomotif College,Tertiary,None,tertiary,education,None,,None,Private College,None,None,None,None,3.11453,101.627502
Sekolah Menengah Kebangsaan Sri Utama,Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.098364,101.631003
Malvern International Academy,Tertiary,None,tertiary,education,None,,None,Private College,None,None,None,None,3.077794,101.613302
Kelana Jaya Medical Centre Sdn Bhd,Hospital,None,hospital,healthcare,None,,None,Private,None,None,None,None,3.1086814,101.5952646
Subang Jaya Medical Centre,Hospital,None,hospital,healthcare,None,,None,Private,None,None,None,None,3.0784119999999997,101.593622
Kelana Jaya,LRT,None,lrt,transportation,LRT Kelana Jaya Line,,1998,None,None,None,None,None,3.1128607999999995,101.6050541
Taman Bahagia,LRT,None,lrt,transportation,LRT Kelana Jaya Line,,1998,None,None,None,None,None,3.11079,101.61285600000001
Kelana Indah @ Persada Plus,LRT,None,lrt,transportation,LRT Bandar Utama-Klang Line,,2020,None,None,None,None,None,3.1072130000000002,101.59135699999999
Glenmarie,LRT,None,lrt,transportation,LRT Kelana Jaya Line,,2016,None,None,None,None,None,3.095338,101.590422
Taman Paramount,LRT,None,lrt,transportation,LRT Kelana Jaya Line,,1998,None,None,None,None,None,3.104563,101.623132
Lembah Subang,LRT,None,lrt,transportation,LRT Kelana Jaya Line,,2016,None,None,None,None,None,3.111935,101.591538
Glenmarie,LRT,None,lrt,transportation,LRT Bandar Utama-Klang Line,,2020,None,None,None,None,None,3.095637,101.588564
Setia Jaya,KTM Komuter,None,ktm komuter,transportation,KTM Port Klang Line,,1995,None,None,None,None,None,3.0830556000000002,101.61111109999999
Ara Damansara,LRT,None,lrt,transportation,LRT Kelana Jaya Line,,2016,None,None,None,None,None,3.1084560000000003,101.586632
Sunway-Setia Jaya,BRT,None,brt,transportation,BRT Sunway Line,,2015,None,None,None,None,None,3.082933,101.61261
Dataran Prima,LRT,None,lrt,transportation,LRT Bandar Utama-Klang Line,,2020,None,None,None,None,None,3.121734,101.593912
Seri Setia,KTM Komuter,None,ktm komuter,transportation,KTM Port Klang Line,,1995,None,None,None,None,None,3.0844443999999998,101.6216667
Subang Jaya,LRT,None,lrt,transportation,LRT Kelana Jaya Line,,2016,None,None,None,None,None,3.085344,101.587575
Subang Jaya,KTM Komuter,None,ktm komuter,transportation,KTM Port Klang Line | KTM Terminal Skypark Line,,1995,None,None,None,None,None,3.084715,101.58769699999999
Mentari,BRT,None,brt,transportation,BRT Sunway Line,,2015,None,None,None,None,None,3.0759849999999997,101.61005899999999
Integrated Islamic School Kota Damansara,Primary Secondary Preschool,None,primary,education,None,,None,International School,None,None,None,British,3.1525477000000004,101.6004628
UNDO Academy,Tertiary,None,tertiary,education,None,,None,Private College,None,None,None,None,3.151869,101.59535100000001
MUST - Malaysia University of Science and Technology,Tertiary,None,tertiary,education,None,,None,Private University,None,None,None,None,3.154529,101.59600400000001
Joykids International Preschool,Preschool,None,preschool,education,None,,None,Preschool,None,None,None,British,3.151447,101.6028798
Point College,Tertiary,None,tertiary,education,None,,None,Private College,None,None,None,None,3.154772,101.59047
Sekolah Kebangsaan Seksyen 11 Kota Damansara,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.160164,101.593681
St Joseph's Institution International School Malaysia,Primary Secondary Preschool,None,primary,education,None,,None,International School,None,None,None,International Baccalaureate (IB),3.1398,101.5951
Sekolah Kebangsaan Bandar Utama Damansara (4),Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.151993,101.61121700000001
Sekolah Menengah Kebangsaan Bandar Utama Damansara (4),Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.154266,101.61115699999999
Sekolah Jenis Kebangsaan (Cina) Puay Chai 2,Primary,['Jenis Kebangsaan (C)'],cluster,education,None,,None,Public School,None,None,['Jenis Kebangsaan (C)'],None,3.146541,101.610986
Sekolah Jenis Kebangsaan (Cina) Damansara,Primary,['Jenis Kebangsaan (C)'],primary,education,None,,None,Public School,None,None,['Jenis Kebangsaan (C)'],None,3.137736561,101.59965109999999
British Council - The Curve,Tertiary,None,tertiary,education,None,,None,Private College,None,None,None,None,3.158156,101.611419
Sekolah Menengah Kebangsaan Bandar Utama Damansara 3,Secondary,['SM Kebangsaan'],cluster,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.1400639999999997,101.606583
Ecole De Patisserie,Tertiary,None,tertiary,education,None,,None,Private College,None,None,None,None,3.165037,101.6058
Sekolah Menengah Kebangsaan Seksyen 4 Kota Damansara,Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.151698,101.581739
First City University College,Tertiary,None,tertiary,education,None,,None,Private University College,None,None,None,None,3.1380529999999998,101.60706400000001
Sekolah Kebangsaan Bukit Lanjan,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.168533,101.604063
Sekolah Menengah Kebangsaan Bandar Utama Damansara (2),Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.139251,101.61086
Brainy Bunch - Kota Damansara,Elementary High Kindergarten,None,elementary,education,None,,None,Preschool,None,None,None,Montessori,3.158595,101.581458
British International School Kuala Lumpur,Primary Secondary Early years,None,primary,education,None,,None,International School,None,None,None,British,3.1362464,101.6068523
Sekolah Menengah Kebangsaan Bandar Utama,Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.14299,101.61425
Sekolah Kebangsaan Bandar Utama Damansara 2,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.1410299999999998,101.614246
Sekolah Jenis Kebangsaan (Tamil) Ldg Effingham,Primary,['Jenis Kebangsaan (T)'],primary,education,None,,None,Public School,None,None,['Jenis Kebangsaan (T)'],None,3.132672,101.603873
SEGi University & Colleges Kuala Lumpur,Tertiary,None,tertiary,education,None,,None,Private University,None,None,None,None,3.1488490000000002,101.576923
Sekolah Kebangsaan Taman Tun Dr Ismail 1,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.15332,101.62
Sekolah Kebangsaan Tropicana,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.130281,101.598049
Sekolah Kebangsaan Bandar Utama Damansara,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.131949,101.608122
Sekolah Sri KDU - Secondary Campus,Secondary,None,secondary,education,None,,None,Private School,None,None,None,Local Curriculum,3.149682,101.57580300000001
Sekolah Sri KDU - Primary Campus,Primary,None,primary,education,None,,None,Private School,None,None,None,Local Curriculum,3.149682,101.57580300000001
Sri KDU International School,Primary Secondary,None,primary,education,None,,None,International School,None,None,None,British,3.149676,101.57580300000001
Sekolah Kebangsaan Seksyen 6 Kota Damansara,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.156303,101.575983
Sekolah Menengah Kebangsaan Tropicana,Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.128614,101.597215
Sekolah Menengah Kebangsaan Seksyen 10 Kota Damansara,Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.169447,101.579437
SEGi University Kota Damansara,Tertiary,None,tertiary,education,None,,None,Private University,None,None,None,None,3.149378,101.572234
Sekolah Menengah Kebangsaan Taman Tun Dr. Ismail,Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.14675,101.624
Tropicana Medical Centre (M) Sdn. Bhd.,Hospital,None,hospital,healthcare,None,,None,Private,None,None,None,None,3.1488296,101.5784713
Pusat Pakar Ortopedik Quill Orthopedic Specialist Centre,Hospital,None,hospital,healthcare,None,,None,Private,None,None,None,None,3.1525534,101.6203102
Surian,MRT,None,mrt,transportation,MRT Sungai Buloh-Kajang Line,,2017,None,None,None,None,None,3.149566,101.593712
Mutiara Damansara,MRT,None,mrt,transportation,MRT Sungai Buloh-Kajang Line,,2017,None,None,None,None,None,3.155134,101.60884899999999
Kota Damansara,MRT,None,mrt,transportation,MRT Sungai Buloh-Kajang Line,,2017,None,None,None,None,None,3.150123,101.57869000000001
Bu11 @ Tropicana,LRT,None,lrt,transportation,LRT Bandar Utama-Klang Line,,2020,None,None,None,None,None,3.133365,101.606185
Bandar Utama,MRT,None,mrt,transportation,MRT Sungai Buloh-Kajang Line,,2017,None,None,None,None,None,3.1466540000000003,101.618652
Bandar Utama,LRT,None,lrt,transportation,LRT Bandar Utama-Klang Line,,2020,None,None,None,None,None,3.144215,101.6193308
Kayu Ara @ Damansara Utama,LRT,None,lrt,transportation,LRT Bandar Utama-Klang Line,,2020,None,None,None,None,None,3.135215,101.616997
Sekolah Menengah Kebangsaan Tropicana,Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.128614,101.597215
Sekolah Kebangsaan Tropicana,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.130281,101.598049
Sekolah Jenis Kebangsaan (Tamil) Ldg Effingham,Primary,['Jenis Kebangsaan (T)'],primary,education,None,,None,Public School,None,None,['Jenis Kebangsaan (T)'],None,3.132672,101.603873
Sekolah Jenis Kebangsaan (Cina) Damansara,Primary,['Jenis Kebangsaan (C)'],primary,education,None,,None,Public School,None,None,['Jenis Kebangsaan (C)'],None,3.137736561,101.59965109999999
Sekolah Jenis Kebangsaan (Cina) Yuk Chai,Primary,['Jenis Kebangsaan (C)'],primary,education,None,,None,Public School,None,None,['Jenis Kebangsaan (C)'],None,3.117208,101.60700600000001
Sekolah Kebangsaan Bandar Utama Damansara,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.131949,101.608122
Allied Aeronautics Training Centre,Tertiary,None,tertiary,education,None,,None,Private College,None,None,None,None,3.11396,101.590265
Cherie Hearts International Preschool - Ara Damansara,Preschool,None,preschool,education,None,,None,Preschool,None,None,None,British,3.1131919999999997,101.591482
Sekolah Kebangsaan Taman Megah,Primary,['Kebangsaan'],primary,education,None,,None,Public School,None,None,['Kebangsaan'],None,3.116173,101.60679300000001
Life College Malaysia,Tertiary,None,tertiary,education,None,,None,Private College,None,None,None,None,3.113734,101.589805
St Joseph's Institution International School Malaysia,Primary Secondary Preschool,None,primary,education,None,,None,International School,None,None,None,International Baccalaureate (IB),3.1398,101.5951
British International School Kuala Lumpur,Primary Secondary Early years,None,primary,education,None,,None,International School,None,None,None,British,3.1362464,101.6068523
First City University College,Tertiary,None,tertiary,education,None,,None,Private University College,None,None,None,None,3.1380529999999998,101.60706400000001
Sekolah Menengah Kebangsaan Kelana Jaya,Secondary,['SM Kebangsaan'],secondary,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.1077529999999998,101.59705799999999
Sekolah Menengah Kebangsaan Bandar Utama Damansara 3,Secondary,['SM Kebangsaan'],cluster,education,None,,None,Public School,None,None,['SM Kebangsaan'],None,3.1400639999999997,101.606583
