name,sub_type,category,line_name,type,latitude,longitude
Sekolah Kebangsaan Pendas Laut,cluster,education,,Public School,1.374462724,103.6284435
Shattuck St. Mary's School,early years,education,,International School,1.3366912,103.5938561
Klinik Desa Paya Mengkuang,clinic,healthcare,,Government,1.37694,103.59361
Klinik Kesihatan Paya Mengkuang,clinic,healthcare,,Government,1.3791879999999999,103.589448
Klinik Desa Tiram Duku,clinic,healthcare,,Government,1.3824299999999998,103.56832
Sekolah Kebangsaan Sungai Kapal,primary,education,,Public School,1.385585,104.26785500000001
Sekolah Jenis Kebangsaan (Cina) Tai Sin,primary,education,,Public School,1.383751,104.268225
Sekolah Jenis Kebangsaan (Cina) Peay Min,primary,education,,Public School,1.372343717,104.24723709999999
Sekolah Kebangsaan Telok Ramunia,primary,education,,Public School,1.368482,104.239513
Klinik Desa Teluk Ramunia,clinic,healthcare,,Government,1.3724299999999998,104.24753
Sekolah Kebangsaan Semenggok,primary,education,,Public School,1.393807,110.34400500000001
Sekolah Menengah Kebangsaan Penrissen,secondary,education,,Public School,1.3958549999999998,110.338558
Sekolah Kebangsaan Landeh,primary,education,,Public School,1.4217469999999999,110.32449
Sekolah Kebangsaan St Augustine,primary,education,,Public School,1.352062,110.346726
Sekolah Jenis Kebangsaan (Cina) Chung Hua Batu 10,primary,education,,Public School,1.424636,110.325425
Hospital Rajah Charles Brooke Memorial,hospital,healthcare,,Government,1.388798,110.322502
Paragon Private and International School,primary,education,,Private School,1.3922780000000001,103.638416
Sunway International School - Sunway Iskandar,primary,education,,International School,1.3930202,103.635092
Mount Kelly Malaysia,preschool,education,,International School,1.4136360000000001,103.627117
Sekolah Kebangsaan Medini,primary,education,,Public School,1.423291192,103.64177409999999
University of Reading Malaysia,tertiary,education,,Private University,1.430485,103.615679
NuMED - Newcastle University Medicine Malaysia,tertiary,education,,Private University College,1.429539,103.61357199999999
University of Southampton Malaysia Campus,tertiary,education,,Private University,1.430168,103.612131
Sekolah Kebangsaan Sikijang,primary,education,,Public School,1.43090094,103.66469620000001
Gleneagles Medini,hospital,healthcare,,Private,1.4263424,103.63562259999999
Hoo Specialist Maternity & Surgery Sdn. Bhd.,hospital,healthcare,,Private,1.42697,103.6354115
Sekolah Kebangsaan Dato Mohd Musa,primary,education,,Public School,1.439158,110.35253200000001
Sekolah Kebangsaan Siburan Batu,primary,education,,Public School,1.359656,110.32016899999999
Sekolah Jenis Kebangsaan (Cina) Chung Hua Batu 15,primary,education,,Public School,1.359656,110.32016899999999
Sekolah Menengah Kebangsaan Wira Penrissen,secondary,education,,Public School,1.444593,110.325981
Sekolah Kebangsaan Wira Jaya,primary,education,,Public School,1.4469,110.32685
Sekolah Kebangsaan Paya Mebi,primary,education,,Public School,1.411338,110.29408000000001
Sekolah Kebangsaan Bau,primary,education,,Public School,1.408166667,110.16901670000001
Sekolah Kebangsaan St Stephen ( M ),primary,education,,Public School,1.414433333,110.15858329999999
Sekolah Jenis Kebangsaan (Cina) Chung Hua Bau,primary,education,,Public School,1.41345,110.15645
Sekolah Menengah Kebangsaan Bau,secondary,education,,Public School,1.428666667,110.1545
Sekolah Jenis Kebangsaan (Cina) Chung Hua Paku,primary,education,,Public School,1.42215,110.19001670000002
Sekolah Menengah Kebangsaan Lake,secondary,education,,Public School,1.408233333,110.1387
Sekolah Jenis Kebangsaan (Cina) Chung Hua Sebuku,primary,education,,Public School,1.435383333,110.16086670000001
Sekolah Menengah Kebangsaan Paku (S),secondary,education,,Public School,1.42745,110.19448329999999
Sekolah Jenis Kebangsaan (Cina) Chung Hua Taiton,primary,education,,Public School,1.4043166669999998,110.1311
Sekolah Kebangsaan Simpang Kuda,primary,education,,Public School,1.3797833330000002,110.19745
Hospital Bau,hospital,healthcare,,Government,1.42923,110.1424
Sekolah Kebangsaan Medang,primary,education,,Public School,1.410935,111.534276
Sekolah Kebangsaan Abang Abdul Kadir,primary,education,,Public School,1.4137166669999999,111.52706670000002
Sekolah Kebangsaan St. Augustine,primary,education,,Public School,1.405165,111.52556499999999
Sekolah Menengah Kebangsaan St. Augustine,secondary,education,,Public School,1.405165,111.52556499999999
Sekolah Kebangsaan Saka,primary,education,,Public School,1.376849,111.55126200000001
Sekolah Kebangsaan Batu Kitang,primary,education,,Public School,1.447433,110.28316699999999
Sekolah Jenis Kebangsaan (Cina) Chung Hua Bt Kitang,primary,education,,Public School,1.449383,110.28191699999999
Raffles American School,elementary,education,,International School,1.439022,103.648095
Marlborough College Malaysia,primary,education,,International School,1.442828,103.650902
Cherie Hearts International Preschool - Setia Eco Garden,preschool,education,,Preschool,1.4378363,103.6189968
Sekolah Menengah Kebangsaan Medini,secondary,education,,Public School,1.43726651,103.6174572
Sekolah Kebangsaan St David,primary,education,,Public School,1.455567,110.29648300000001
Sekolah Jenis Kebangsaan (Cina) Ming Chih,primary,education,,Public School,1.458918,103.64465
Sekolah Kebangsaan Ladang Pendas,primary,education,,Public School,1.424862481,103.5924858
Sekolah Menengah Kebangsaan Gelang Patah,secondary,education,,Public School,1.449413061,103.59095959999999
Sekolah Kebangsaan Gelang Patah,primary,education,,Public School,1.448587205,103.5885912
Sekolah Jenis Kebangsaan (Cina) Ming Terk,primary,education,,Public School,1.450142389,103.5902488
Sekolah Kebangsaan Taman Nusa Perintis,primary,education,,Public School,1.455907284,103.59262530000001
Klinik Kesihatan Gelang Patah,clinic,healthcare,,Government,1.447719,103.590287
Sekolah Jenis Kebangsaan (Cina) Chung Hua Sg.Tapang,primary,education,,Public School,1.460975,110.33203300000001
Sekolah Menengah Kebangsaan Sg Tapang,secondary,education,,Public School,1.46115,110.33036670000001
Sekolah Kebangsaan Kpg. Buda,primary,education,,Public School,1.44,111.58
Sekolah Kebangsaan St. Peter & St. Paul,primary,education,,Public School,1.439081,111.616105
Sekolah Jenis Kebangsaan (Cina) Chung Hua Batu 8 1/2,primary,education,,Public School,1.462367,110.311783
Sekolah Kebangsaan Sungai Melayu,primary,education,,Public School,1.452866639,103.6962068
Klinik Desa Sungai Melayu,clinic,healthcare,,Government,1.4519,103.69329
Sekolah Jenis Kebangsaan (Cina) Sam Hap Hin,primary,education,,Public School,1.471667,110.3303
Sekolah Jenis Kebangsaan (Cina) Chung Hua Batu 11,primary,education,,Public School,1.466601,110.350027
Sekolah Kebangsaan Maj Gen Datu Ibrahim,primary,education,,Public School,1.4723760000000001,110.33896299999999
Sekolah Kebangsaan Jalan Haji Baki,primary,education,,Public School,1.47425,110.322717
Sekolah Jenis Kebangsaan (Cina) Chung Hua Stampin,primary,education,,Public School,1.4771666669999999,110.35333329999999
Sekolah Kebangsaan Jalan Muara Tuang,primary,education,,Public School,1.4455,110.384667
Sekolah Jenis Kebangsaan (Tamil) Gelang Patah,primary,education,,Public School,1.458679791,103.57474029999999
Sekolah Menengah Kebangsaan Taman Nusajaya,secondary,education,,Public School,1.4687052980000002,103.5820225
Sekolah Kebangsaan Nusantara,primary,education,,Public School,1.468252154,103.580727
Sekolah Kebangsaan Sacred Heart,primary,education,,Public School,1.4751670000000001,110.297917
Sekolah Kebangsaan St Michael,primary,education,,Public School,1.43828,110.43951000000001
Sekolah Kebangsaan Terasi,primary,education,,Public School,1.45,110.45
Sekolah Kebangsaan Meranek,primary,education,,Public School,1.4455360000000002,110.459805
Sekolah Kebangsaan Pinang,primary,education,,Public School,1.422,110.44838999999999
Sekolah Kebangsaan St John,primary,education,,Public School,1.46279,110.44208
Sekolah Kebangsaan (A) Ibnu Khaldun,cluster,education,,Public School,1.4489301,110.46755790000002
Sekolah Kebangsaan Pendidikan Khas Kota Samarahan,primary,education,,Public School,1.4478799999999998,110.46818
Sekolah Kebangsaan St Martin,primary,education,,Public School,1.47231,110.41447
Brainy Bunch - Kota Samarahan (new),elementary,education,,Preschool,1.473615,110.415904
Sekolah Kebangsaan Plaie D C,primary,education,,Public School,1.48,110.46
Sekolah Menengah Kebangsaan Muara Tuang,secondary,education,,Public School,1.448285,110.399549
Sekolah Jenis Kebangsaan (Cina) Chung Hua Siniawan,primary,education,,Public School,1.446366667,110.22161670000001
Sekolah Kebangsaan Siniawan,primary,education,,Public School,1.4536333330000002,110.22041670000002
Sekolah Kebangsaan Serumbu,primary,education,,Public School,1.42365,110.23706670000001
Sekolah Kebangsaan Podam,primary,education,,Public School,1.4258166669999999,110.21226670000001
Sekolah Jenis Kebangsaan (Cina) Chung Hua Kranji,primary,education,,Public School,1.4500333330000001,110.26683329999999
Sekolah Jenis Kebangsaan (Cina) Chung Hua Musi,primary,education,,Public School,1.470733333,110.19441670000002
Sekolah Kebangsaan Sungai Pinang,primary,education,,Public School,1.483216667,110.2117
Klinik Desa Siniawan,clinic,healthcare,,Government,1.44851,110.21778
Kuching International Airport,airport,transportation,,International,1.4868501,110.33954469999999
Sekolah Jenis Kebangsaan (Cina) Chung Hua Sg Tapang Bt Kawa,primary,education,,Public School,1.4802986999999999,110.3703648
Sekolah Kebangsaan St Alban,primary,education,,Public School,1.48095,110.37038329999999
Sekolah Kebangsaan Kampung Pulai,primary,education,,Public School,1.4767304980000002,103.5672998
Klinik Desa Kampung Pulai,clinic,healthcare,,Government,1.4771459999999998,103.566077
Sekolah Menengah Kebangsaan Taman Bukit Indah,secondary,education,,Public School,1.48058623,103.6426404
Columbia Asia Hospital Iskandar Puteri,hospital,healthcare,,Private,1.4788125,103.6373554
Sekolah Jenis Kebangsaan (Cina) Gogok,primary,education,,Public School,1.423360908,104.10064100000001
Sekolah Kebangsaan Kg.Baru Pasir Gogok,primary,education,,Public School,1.419312018,104.10426740000001
Klinik Desa Pasir Gogok,clinic,healthcare,,Government,1.41934,104.1026
Sekolah Kebangsaan Tg Puteri Resort,primary,education,,Public School,1.454459358,103.9328849
Sekolah Kebangsaan Pasir Puteh,primary,education,,Public School,1.435732768,103.93070159999999
Sekolah Menengah Kebangsaan Tg Puteri Resort,secondary,education,,Public School,1.4583955690000001,103.9381313
Sekolah Kebangsaan Pasir Gudang 3,primary,education,,Public School,1.458567,103.916414
Sekolah Menengah Kebangsaan Pasir Putih,secondary,education,,Public School,1.473571903,103.93725690000001
Sekolah Menengah Kebangsaan Pasir Gudang 3,secondary,education,,Public School,1.46343112,103.91432940000001
Sekolah Kebangsaan Taman Pasir Putih,cluster,education,,Public School,1.47516997,103.9372998
Sekolah Kebangsaan Pasir Gudang (1),primary,education,,Public School,1.4594734669999998,103.9082301
Sekolah Kebangsaan Pasir Gudang (2),primary,education,,Public School,1.456508,103.906469
Sekolah Kebangsaan Kota Masai 2,primary,education,,Public School,1.478333926,103.95587950000001
Sekolah Menengah Kebangsaan Pasir Gudang,secondary,education,,Public School,1.470472292,103.9067012
Sekolah Menengah Kebangsaan Kota Masai 2,secondary,education,,Public School,1.47972821,103.9571804
Sekolah Kebangsaan Kota Masai,primary,education,,Public School,1.486528013,103.9508665
Sekolah Jenis Kebangsaan (Tamil) Pasir Gudang,primary,education,,Public School,1.486367134,103.9175642
Sekolah Kebangsaan Kota Masai 3,primary,education,,Public School,1.489562,103.926525
Klinik Desa Pasir Putih,clinic,healthcare,,Government,1.43489,103.93095
Klinik Kesihatan Pasir Gudang,clinic,healthcare,,Government,1.463943,103.906293
Hospital Penawar,hospital,healthcare,,Private,1.468474,103.9041072
Hospital Waqaf An-Nur Pasir Gudang,hospital,healthcare,,Private,1.4761826999999998,103.90261770000001
Sekolah Jenis Kebangsaan (Cina) Chung Hua Sg. Lubak,primary,education,,Public School,1.4898,110.3197
Sekolah Jenis Kebangsaan (Cina) Sg Tengah,primary,education,,Public School,1.4907540000000001,110.337056
Sekolah Jenis Kebangsaan (Cina) Chung Hua Sg Jernang,primary,education,,Public School,1.481474,110.41546000000001
Sekolah Jenis Kebangsaan (Cina) Chung Hua Pangkalan Baru,primary,education,,Public School,1.4769999999999999,110.286983
Tenby Schools - Setia Eco Gardens,primary,education,,Private School,1.4935,103.5917
Tenby International School - Johor Bahru,primary,education,,International School,1.493534,103.591718
Sekolah Jenis Kebangsaan (Cina) Pai Tze,primary,education,,Public School,1.494593368,103.59279959999999
Universiti Malaysia Sarawak (Unimas),tertiary,education,,Public University,1.4599209999999998,110.488266
Sekolah Kebangsaan Dato Traoh Muara Tuang,primary,education,,Public School,1.4586472,110.4985639
Sekolah Kebangsaan Kampung Rembus,primary,education,,Public School,1.476615,110.493756
Sekolah Jenis Kebangsaan (Cina) Chung Hua Tondong,primary,education,,Public School,1.454283333,110.15799999999999
Sekolah Kebangsaan Buso,primary,education,,Public School,1.4498,110.18128329999999
Sekolah Jenis Kebangsaan (Cina) Chung Hua Buso,primary,education,,Public School,1.4501166669999999,110.18341670000001
Sekolah Kebangsaan Grogo,primary,education,,Public School,1.45485,110.13013329999998
Sekolah Kebangsaan Apar,primary,education,,Public School,1.4841666669999998,110.14598329999998
Sekolah Kebangsaan Atas,primary,education,,Public School,1.49305,110.17098329999999
NMIT - Netherlands Maritime Institute of Technology,tertiary,education,,Private University,1.459552,103.76252099999999
Raffles University Iskandar,tertiary,education,,Private University,1.45951,103.762428
Sekolah Kebangsaan Ayer Molek,primary,education,,Public School,1.462465839,103.757903
Sekolah Jenis Kebangsaan (Cina) St Joseph,primary,education,,Public School,1.465834,103.758348
Sekolah Kebangsaan St. Joseph,cluster,education,,Public School,1.46594621,103.7582195
Kolej Vokasional Tanjung Puteri,secondary,education,,Public School,1.471791504,103.7669152
Sekolah Menengah Kebangsaan Dato Jaafar,secondary,education,,Public School,1.4726093080000002,103.76708149999999
Sekolah Kebangsaan (P) Bandar Tinggi,primary,education,,Public School,1.4669490280000002,103.7573075
Sekolah Kebangsaan Infant Jesus Convent,primary,education,,Public School,1.4643,103.7546
Sekolah Menengah Kebangsaan Infant Jesus Convent,secondary,education,,Public School,1.4647235230000002,103.7542525
Sekolah Menengah Kebangsaan Taman Pelangi,secondary,education,,Public School,1.4757330469999999,103.7739882
Sekolah Kebangsaan Ngee Heng,primary,education,,Public School,1.470638535,103.75428740000001
Sekolah Menengah Kebangsaan (P) Sultan Ibrahim,cluster,education,,Public School,1.473278,103.751796
Sekolah Kebangsaan Temenggong Abdul Rahman 2,primary,education,,Public School,1.474971552,103.7522542
Sekolah Kebangsaan (P) Sultan Ibrahim,primary,education,,Public School,1.473974101,103.7513101
Sekolah Kebangsaan Taman Pelangi,primary,education,,Public School,1.481417437,103.7756592
Sekolah Kebangsaan Temenggong Abdul Rahman 1,cluster,education,,Public School,1.475706234,103.7520128
Sekolah Kebangsaan (P) Jln. Yahya Awal,primary,education,,Public School,1.472874759,103.74925019999999
Claz'room Academy,tertiary,education,,Private College,1.482664,103.77472900000001
Sekolah Menengah Kebangsaan Sri Tebrau,secondary,education,,Public School,1.4859139940000001,103.7747929
Sekolah Menengah Kebangsaan Sultanah Engku Tun Aminah,secondary,education,,Public School,1.4651100000000001,103.74161
Sekolah Jenis Kebangsaan (Tamil) Jalan Yahya Awal,primary,education,,Public School,1.478328563,103.7480271
Sekolah Kebangsaan Pendidikan Khas Princess Elizabeth,cluster,education,,Public School,1.4660132430000001,103.7399295
Sekolah Rendah Agama Bersepadu Johor Bahru,primary,education,,Public School,1.4888500230000001,103.7713999
Maktab Sultan Abu Bakar,cluster,education,,Public School,1.4631576240000002,103.73874659999998
Sekolah Kebangsaan Angkatan Tentera,primary,education,,Public School,1.4890109009999999,103.7615186
Sekolah Menengah Kebangsaan Aminuddin Baki,secondary,education,,Public School,1.478189134,103.7444276
Sekolah Menengah Kebangsaan Sultan Ismail,secondary,education,,Public School,1.47870931,103.7445456
Sekolah Kebangsaan Nong Chik,primary,education,,Public School,1.4662250680000002,103.7377703
Sekolah Jenis Kebangsaan (Cina) Foon Yew 2,primary,education,,Public School,1.480033879,103.74356929999999
Sekolah Menengah Kebangsaan Mohd Khalid,cluster,education,,Public School,1.478650321,103.74210749999999
Brainy Bunch  - Taman Nong Chik,elementary,education,,Preschool,1.4733296999999999,103.73850440000001
Utama International School - Johor Campus,primary,education,,International School,1.4915653999999998,103.75996359999999
Sekolah Sri Utama - Johor Campus,primary,education,,Private School,1.4915653999999998,103.75996359999999
Sekolah Kebangsaan Sri Tebrau,cluster,education,,Public School,1.493059665,103.77477409999999
Sekolah Kebangsaan Larkin 1,primary,education,,Public School,1.488485366,103.7504679
Sekolah Kebangsaan Larkin 2,primary,education,,Public School,1.489375558,103.7504733
Sekolah Sri Ara,primary,education,,Private School,1.464972,103.733278
Sri Ara International School,primary,education,,International School,1.4649718999999999,103.7332777
Sekolah Jenis Kebangsaan (Cina) Foon Yew 3,primary,education,,Public School,1.491016515,103.750897
Sekolah Jenis Kebangsaan (Cina) Foon Yew 1,primary,education,,Public School,1.4967652169999999,103.7620068
Sekolah Kebangsaan Tebrau Bakar Batu,primary,education,,Public School,1.497843096,103.78331419999999
Sekolah Kebangsaan Taman Suria,primary,education,,Public School,1.501848944,103.762157
Sekolah Kebangsaan Tanjung Puteri,primary,education,,Public School,1.498207752,103.749277
Landmark Medical Centre Sdn. Bhd,hospital,healthcare,,Private,1.465557,103.75947109999998
Klinik Kesihatan Mahmoodiah,clinic,healthcare,,Government,1.4624700000000002,103.74842
Century Specialist Maternity Sdn. Bhd.,hospital,healthcare,,Private,1.4805098,103.76332370000002
"Hospital Sultanah Aminah, Johor Bahru",hospital,healthcare,,Government,1.45852,103.74591
Pelangi Medical Centre Sdn. Bhd.,hospital,healthcare,,Private,1.4841577,103.77507879999999
Klinik Kesihatan Tebrau,clinic,healthcare,,Government,1.48875,103.77123
Hospital Pakar KPJ Johor (KPJ Johor Specialist Hospital),hospital,healthcare,,Private,1.4759790000000002,103.741242
Regency Specialist Hospital,hospital,healthcare,,Private,1.4907068,103.7420437
Puteri Specialist Hospital,hospital,healthcare,,Private,1.4907068,103.7420437
Klinik Kesihatan Larkin,clinic,healthcare,,Government,1.4969649999999999,103.748751
Klinik Desa Bakar Batu,clinic,healthcare,,Government,1.49833,103.78583
Sekolah Menengah Kebangsaan Pasir Gudang 2,secondary,education,,Public School,1.470579545,103.8953796
Sekolah Kebangsaan Pasir Gudang 4,primary,education,,Public School,1.4693970809999999,103.8922575
Sekolah Kebangsaan Taman Bukit Dahlia,primary,education,,Public School,1.484801251,103.90041409999999
Sekolah Kebangsaan Taman Cendana,primary,education,,Public School,1.486721067,103.9059073
Sekolah Jenis Kebangsaan (Tamil) Masai,cluster,education,,Public School,1.488520223,103.8835886
Sekolah Kebangsaan Masai,primary,education,,Public School,1.488968,103.8840473
Sekolah Jenis Kebangsaan (Cina) Masai,primary,education,,Public School,1.4903207,103.8849077
Sekolah Menengah Kebangsaan Kota Masai,secondary,education,,Public School,1.495148396,103.9255276
Sekolah Menengah Kebangsaan Taman Nusa Damai,cluster,education,,Public School,1.498674297,103.89960409999999
Sekolah Kebangsaan Taman Nusa Damai,primary,education,,Public School,1.5017148790000001,103.8993251
Sekolah Kebangsaan Seri Alam 2,primary,education,,Public School,1.495663205,103.88519529999999
Sekolah Kebangsaan Taman Rinting 1,primary,education,,Public School,1.485155,103.873731
Sekolah Menengah Kebangsaan Dato Penggawa Timur,cluster,education,,Public School,1.4928827,103.87833420000001
Pasir Gudang Specialist Hospital,hospital,healthcare,,Private,1.4770264,103.895794
Klinik Kesihatan Masai,clinic,healthcare,,Government,1.489205,103.885109
Sekolah Kebangsaan Taman Bukit Indah,primary,education,,Public School,1.473244781,103.6645675
Sekolah Jenis Kebangsaan (Tamil) Ladang Bukit Serampang,primary,education,,Public School,1.4804883999999998,103.649869
Sekolah Menengah Kebangsaan Dato' Usman Awang,secondary,education,,Public School,1.476383,103.670214
Sekolah Kebangsaan Taman Perling 3,primary,education,,Public School,1.472435022,103.6733115
Sekolah Menengah Kebangsaan Taman Selesa Jaya,secondary,education,,Public School,1.489005,103.635287
Sekolah Kebangsaan Taman Selesa Jaya,cluster,education,,Public School,1.490705484,103.63816379999999
Sekolah Menengah Kebangsaan Bandar Uda Utama,secondary,education,,Public School,1.491367,103.669496
Sekolah Menengah Kebangsaan Taman Selesa Jaya 2,secondary,education,,Public School,1.49556,103.637
Sekolah Menengah Kebangsaan Seri Perling,secondary,education,,Public School,1.483578,103.68423100000001
Sekolah Kebangsaan Sungai Danga,primary,education,,Public School,1.467286875,103.69156120000001
Sekolah Kebangsaan Taman Skudai Baru 2,primary,education,,Public School,1.496507812,103.63180159999999
Sekolah Kebangsaan Seri Perling 2,primary,education,,Public School,1.4944593030000002,103.6759722
Sekolah Kebangsaan Taman Damai Jaya,primary,education,,Public School,1.503640043,103.64775
Pusat Pakar Sakit Puan Dan Perbidanan Khor & Loh Sdn. Bhd,hospital,healthcare,,Private,1.492815,103.658879
Sekolah Tun Fatimah,secondary,education,,Public School,1.491558138,103.73565409999999
Sekolah Menengah Teknik Johor Bahru,cluster,education,,Public School,1.493317,103.727591
Sekolah Menengah Kebangsaan Tasek Utara,cluster,education,,Public School,1.494413721,103.7291846
Kolej Vokasional Perdagangan,cluster,education,,Public School,1.494342,103.72720699999999
Sekolah Kebangsaan Bandar Uda 2,primary,education,,Public School,1.49401957,103.7202877
Sekolah Kebangsaan Tasek Utara,primary,education,,Public School,1.496706228,103.7289888
Sekolah Menengah Kebangsaan Saint Joseph,secondary,education,,Public School,1.497081609,103.74095140000001
Brainy Bunch Larkin,elementary,education,,Preschool,1.497881,103.742563
Sekolah Kebangsaan Kompleks Uda,primary,education,,Public School,1.492914875,103.7138987
Sekolah Jenis Kebangsaan (Cina) Foon Yew 4,primary,education,,Public School,1.4992588180000002,103.7332428
